vehicle,time,voltage,soc
CUP1,2087-03-07 15:45:47.258,401.219,52.4
CUP2,2022-11-21 08:43:12.706,444.212,93.0
CUP2,2022-11-21 08:50:15.122,445.489,93.2
CUP2,2022-11-21 12:19:16.274,448.688,95.867
CUP2,2022-11-21 12:22:06.791,446.889,95.44
CUP2,2022-11-21 12:29:18.079,436.305,93.551
CUP2,2022-11-21 12:30:03.172,439.209,91.09
CUP2,2022-11-21 12:39:15.296,439.414,90.179
CUP2,2022-11-21 12:40:00.397,437.884,89.443
CUP2,2022-11-21 12:49:17.081,435.06,88.207
CUP2,2022-11-21 12:50:02.180,430.166,86.732
CUP2,2022-11-21 12:55:03.148,419.621,82.702
CUP2,2022-11-21 13:00:04.292,415.402,79.476
CUP2,2022-11-21 13:09:20.986,411.03,74.676
CUP2,2022-11-21 13:10:01.195,407.896,71.423
CUP2,2022-11-21 13:16:33.082,400.45,67.2
CUP2,2022-11-21 13:20:03.787,400.688,63.619
CUP2,2022-11-21 13:26:35.869,401.774,61.283
CUP2,2022-11-21 13:30:06.511,400.614,59.321
CUP2,2022-11-21 13:39:28.373,401.979,58.493
CUP2,2022-11-21 13:40:03.518,400.285,57.505
CUP2,2022-11-21 13:49:30.034,396.868,56.152
CUP2,2022-11-21 13:50:55.345,393.307,53.051
CUP2,2022-11-21 13:55:11.198,398.331,52.48
CUP2,2022-11-21 14:00:11.745,397.773,52.07
CUP2,2022-11-21 14:05:57.747,400.161,52.152
CUP2,2022-11-22 16:24:53.066,392.039,50.722
CUP2,2022-11-22 16:27:43.749,403.316,50.82
CUP2,2022-11-22 16:30:04.387,395.276,50.51
CUP2,2022-11-22 16:37:45.632,395.119,49.573
CUP2,2022-11-22 16:44:56.978,390.921,48.829
CUP2,2022-11-22 16:46:22.258,388.678,47.045
CUP2,2022-11-22 16:53:34.761,388.395,45.741
CUP2,2022-11-22 16:57:50.692,375.123,42.566
CUP2,2022-11-22 17:02:11.705,377.784,38.767
CUP2,2022-11-22 17:07:52.834,377.968,35.693
CUP2,2022-11-22 17:13:39.053,367.968,31.844
CUP2,2022-11-22 17:15:04.375,375.344,28.39
CUP2,2022-11-22 17:22:10.792,375.312,25.837
CUP2,2022-11-22 17:27:56.865,375.858,23.966
CUP2,2022-11-22 17:32:12.763,379.253,22.727
CUP2,2022-11-22 17:36:33.532,382.221,22.4
CUP2,2022-11-22 17:42:14.754,381.748,21.924
CUP2,2022-11-22 17:49:26.544,380.541,21.088
CUP2,2022-11-22 17:50:51.820,379.365,20.344
CUP2,2022-11-22 17:59:28.469,377.418,19.423
CUP2,2022-11-22 18:00:03.617,368.393,16.654
CUP2,2022-11-22 18:08:05.891,374.06,14.634
CUP2,2022-11-23 12:37:59.986,378.497,14.4
CUP2,2022-11-23 12:51:28.485,378.233,14.0
CUP2,2022-11-23 12:55:49.229,372.761,13.278
CUP2,2022-11-23 13:01:30.505,371.514,12.0
CUP2,2022-11-23 13:08:42.063,369.943,11.042
CUP2,2022-11-23 13:10:07.330,367.223,9.656
CUP2,2022-11-23 13:15:58.365,367.335,8.647
CUP2,2022-11-23 13:21:39.890,363.833,7.331
CUP2,2022-11-23 13:25:55.846,364.727,6.264
CUP2,2022-11-23 13:31:42.059,366.884,5.726
CUP2,2022-11-23 13:35:02.593,367.654,5.6
CUP2,2022-11-23 13:44:38.444,365.296,5.2
CUP2,2022-11-23 13:47:45.792,366.36,5.2
CUP2,2022-11-23 13:50:00.017,369.0,
CUP2,2022-12-07 10:54:06.974,445.132,94.4
CUP2,2022-12-07 11:21:25.899,446.277,94.4
CUP2,2022-12-07 14:29:58.317,447.996,94.4
CUP2,2022-12-07 14:34:14.031,441.512,93.885
CUP2,2022-12-07 14:37:04.596,433.986,91.74
CUP2,2022-12-07 14:41:20.482,437.279,90.407
CUP2,2022-12-07 14:47:01.617,437.463,89.362
CUP2,2022-12-07 14:54:12.975,438.079,88.766
CUP2,2022-12-07 14:57:03.552,438.682,88.238
CUP2,2022-12-07 15:00:00.244,438.086,88.0
CUP2,2022-12-07 17:09:14.662,437.988,87.491
CUP2,2022-12-07 17:13:45.572,437.434,87.036
CUP2,2022-12-07 17:15:00.799,436.679,86.698
CUP2,2022-12-07 17:22:12.163,435.268,86.113
CUP2,2022-12-07 17:26:28.030,435.598,85.6
CUP2,2022-12-07 17:30:48.784,435.188,85.323
CUP2,2022-12-07 21:34:50.959,437.276,85.2
CUP2,2022-12-07 21:39:11.741,434.427,84.972
CUP2,2022-12-07 21:42:02.301,431.13,84.267
CUP2,2022-12-07 21:45:02.804,427.809,82.773
CUP2,2022-12-07 21:53:29.418,426.695,81.613
CUP2,2022-12-07 21:55:04.662,425.687,80.366
CUP2,2022-12-07 22:03:37.399,428.212,79.672
CUP2,2022-12-07 22:06:28.048,428.018,79.531
CUP2,2022-12-07 22:12:14.332,423.855,78.264
CUP2,2022-12-07 22:15:03.555,426.774,
CUP2,2022-12-08 06:52:10.693,427.699,77.953
CUP2,2022-12-08 06:57:57.044,421.719,76.856
CUP2,2022-12-08 07:02:12.943,409.809,74.651
CUP2,2022-12-08 07:05:08.422,402.798,71.591
CUP2,2022-12-08 07:10:49.437,406.839,68.231
CUP2,2022-12-08 07:15:10.328,404.096,66.319
CUP2,2022-12-08 07:20:51.213,403.321,64.107
CUP2,2022-12-08 07:28:02.586,408.0,63.2
CUP2,2022-12-08 08:51:21.310,412.613,62.8
CUP2,2022-12-08 09:02:51.101,407.937,62.071
CUP2,2022-12-08 09:05:41.551,408.556,61.6
CUP2,2022-12-09 11:12:28.961,410.363,61.6
CUP2,2022-12-09 17:14:57.497,412.276,62.0
CUP2,2022-12-09 17:15:02.505,409.793,62.0
CUP2,2022-12-15 07:53:07.708,410.591,62.0
CUP2,2022-12-15 07:55:01.062,410.218,61.873
CUP2,2022-12-15 08:00:02.146,410.812,61.6
CUP2,2022-12-15 09:12:49.042,423.344,69.2
CUP2,2022-12-15 09:17:56.570,423.738,69.927
CUP2,2022-12-15 09:20:02.008,422.433,70.0
CUP2,2022-12-15 09:29:48.697,422.554,70.0
CUP2,2022-12-15 09:30:03.787,423.044,70.112
CUP2,2022-12-15 09:35:09.651,423.854,70.4
